date,stock,bond,btc,rf
2014-10-31,0.0252,0.00938558039380144,0.11742097403385054,0.0
2014-11-30,0.0255,0.006549415049906804,-0.1530338938256398,0.0
2014-12-31,-0.0006,-0.0017419664501973076,-0.3208345911554661,0.0
2015-01-31,-0.0311,0.025870096248430396,0.1692187863458139,0.0
2015-02-28,0.0613,-0.010732365706927371,-0.039482744245132095,0.0
2015-03-31,-0.011200000000000002,0.003660951124621281,-0.033080266612127596,0.0
2015-04-30,0.0059,-0.003283990629972866,-0.025217565051683266,0.0
2015-05-31,0.013600000000000001,-0.004586195863639286,0.1428471641439928,0.0
2015-06-30,-0.015300000000000001,-0.010066021127243086,0.08202318657329033,0.0
2015-07-31,0.0154,0.00756836383606263,-0.19179341349292278,0.0
2015-08-31,-0.0604,-0.0035261536249798775,0.026097984838474142,0.0
2015-09-30,-0.030699999999999998,0.007660968185517758,0.33087345446813043,0.0
2015-10-31,0.0775,9.096209989123416e-05,0.20102440116169817,0.0
2015-11-30,0.005600000000000001,-0.0026985157561361106,0.14111584042334835,0.0
2015-12-31,-0.021799999999999996,-0.004584140935610326,-0.14353164550335495,0.0001
2016-01-31,-0.05779999999999999,0.01498311095195537,0.1869201782530443,0.0001
2016-02-29,-0.0009000000000000001,0.006705643518335913,-0.047905257361022247,0.0002
2016-03-31,0.0694,0.00935398381628083,0.07580223285826304,0.0002
2016-04-30,0.009000000000000001,0.0038651333987356207,0.18528810865728507,0.0001
2016-05-31,0.0177,9.168787148339241e-05,0.267133482515288,0.0001
2016-06-30,-0.0007000000000000001,0.019492161778372985,-0.07226091363837561,0.0002
2016-07-31,0.0393,0.006418419808918996,-0.07877467481283995,0.0002
2016-08-31,0.004699999999999999,-0.0017037279647585946,0.05953895392492492,0.0002
2016-09-30,0.0023,-0.0008129311354806434,0.14963386101258402,0.0002
2016-10-31,-0.0204,-0.008059143807265579,0.06379569363246373,0.0002
2016-11-30,0.04850000000000001,-0.026418182319724037,0.29241603846732334,0.0001
2016-12-31,0.0178,0.0018720470846180781,0.0069105914453346795,0.0003
2017-01-31,0.019,0.003395260227475383,0.21595868186786293,0.0004
2017-02-28,0.0353,0.006677737645242265,-0.09168024158133425,0.0004
2017-03-31,0.0014000000000000002,-0.0009336127855343879,0.25760640233007415,0.0003
2017-04-30,0.0104,0.007697089542012758,0.6962881886175261,0.0005
2017-05-31,0.01,0.006625828135993883,0.08503732203904124,0.0006
2017-06-30,0.0072,0.00018582434420766347,0.1590187138252983,0.0006
2017-07-31,0.018000000000000002,0.0039054721561029293,0.6357682893335714,0.0007000000000000001
2017-08-31,0.0007000000000000001,0.008543841431123855,-0.07753559993486048,0.0009
2017-09-30,0.0242,-0.005349693154803381,0.490857872534338,0.0009
2017-10-31,0.0216,0.0011133830921157273,0.5820913617038146,0.0009
2017-11-30,0.0304,-0.0016749884811336768,0.38332560700831686,0.0008
2017-12-31,0.0097,0.003918968131318756,-0.2779873889765003,0.0009
2018-01-31,0.0545,-0.010443462582217622,0.01729762831430781,0.0012
2018-02-28,-0.037599999999999995,-0.01019802486662702,-0.32933289195230186,0.0011
2018-03-31,-0.0246,0.005834317852584148,0.32508931486552783,0.0011
2018-04-30,0.0014000000000000002,-0.008000012660418054,-0.18899090636955884,0.0014000000000000002
2018-05-31,0.025099999999999997,0.006065493202735972,-0.14546906906923485,0.0014000000000000002
2018-06-30,0.0034,0.0002858482695395903,0.21493440677701425,0.0014000000000000002
2018-07-31,0.030299999999999997,0.000287774558911158,-0.09547787382631245,0.0016
2018-08-31,0.032799999999999996,0.0052014840795939765,-0.05854569531478648,0.0016
2018-09-30,-0.0009,-0.005378263679545747,-0.04647911923788062,0.0015
2018-10-31,-0.0787,-0.007449181569626595,-0.3641157586308523,0.0019
2018-11-30,0.0151,0.005273428620798937,-0.06834696566607801,0.0018
2018-12-31,-0.0977,0.01792526486715018,-0.07612356870220793,0.002
2019-01-31,0.0819,0.010077258705962322,0.11481100996301064,0.0021
2019-02-28,0.0322,-0.00046713087905059236,0.06501500628284007,0.0018
2019-03-31,0.009100000000000002,0.019470581476174198,0.3033373027134043,0.0019
2019-04-30,0.0376,0.00046731895888640906,0.6024930169843181,0.0021
2019-05-31,-0.07150000000000001,0.01833999109245199,0.2615491059763946,0.0021
2019-06-30,0.0675,0.01157952398608586,-0.06762659169975282,0.0018
2019-07-31,0.01,0.002292396036426503,-0.04511011809653387,0.0019
2019-08-31,-0.0274,0.027971238943682142,-0.13880620175879976,0.0016
2019-09-30,0.0125,-0.005898339697339883,0.10920318228969639,0.0018
2019-10-31,0.019000000000000003,0.002074561049445922,-0.17717702319288364,0.0016
2019-11-30,0.0375,-0.0005331432276522996,-0.049676241482360384,0.0012
2019-12-31,0.0263,-0.0015359349889508822,0.2998401967804065,0.0014000000000000002
2020-01-31,-0.0024,0.02121833868443379,-0.08031850220938352,0.0013
2020-02-29,-0.0825,0.017272131316021122,-0.25127763817906135,0.0012
2020-03-31,-0.13520000000000001,-0.005950693202847468,0.3447789622973987,0.0013
2020-04-30,0.1365,0.01705556639473116,0.09268347922592213,0.0
2020-05-31,0.0557,0.00539367135995783,-0.03414685859834776,0.0001
2020-06-30,0.0245,0.0071180667181705015,0.23916341299202126,0.0001
2020-07-31,0.0576,0.01561829442739282,0.031558666829373916,0.0001
2020-08-31,0.0762,-0.010211410617884553,-0.07673511602626426,0.0001
2020-09-30,-0.036399999999999995,0.0008643132158587807,0.2778530620845252,0.0001
2020-10-31,-0.021099999999999997,-0.006122741583467595,0.42412327784587234,0.0001
2020-11-30,0.1246,0.011202507263835981,0.4777317406819952,0.0001
2020-12-31,0.0462,-0.00017240430447962307,0.14180671257807753,0.0001
2021-01-31,-0.0004,-0.006216353764806781,0.36308750593185835,0.0001
2021-02-28,0.0278,-0.014969678306115064,0.30531110959161056,0.0
2021-03-31,0.0308,-0.014496944269321022,-0.01983502064985121,0.0
2021-04-30,0.0493,0.010253496108049598,-0.35354559593768997,0.0
2021-05-31,0.0029,0.002319877313811558,-0.061394166136132355,0.0
2021-06-30,0.0275,0.007753259686058334,0.18793385485014968,0.0
2021-07-31,0.0127,0.012131304166089985,0.13310109524397706,0.0
2021-08-31,0.0291,-0.0020126228055238338,-0.07157155076874966,0.0
2021-09-30,-0.0437,-0.009057735404921607,0.40026728587587357,0.0
2021-10-31,0.0665,-0.00035532035053709166,-0.0703458026498931,0.0
2021-11-30,-0.0155,0.0032952282349962836,-0.18768354628386952,0.0
2021-12-31,0.030900000000000004,-0.005593303681187156,-0.1689466824784257,0.0001
2022-01-31,-0.0625,-0.02026173254933572,0.1223941500332939,0.0
2022-02-28,-0.0229,-0.011272467785812923,0.05430112933051223,0.0
2022-03-31,0.0304,-0.029133293295735885,-0.1718056277838519,0.0001
2022-04-30,-0.0947,-0.037761173806980075,-0.157035240153918,0.0001
2022-05-31,-0.0037,0.005776431143414307,-0.37768830819165067,0.0003
2022-06-30,-0.0849,-0.01511669728249343,0.17954101663669286,0.0006
